claim_id,date_of_incident,city,product_category,product_sku,problem_reported,claim_amount
2025-01-10,Miami,Electronics,SKU-ELEC-MI-02,Dropped phone, screen cracked,300.0
2025-01-12,Seattle,Appliances,SKU-APP-SE-01,Dishwasher pipe leak,550,
2025-02-01,New York,Property,SKU-PROP-NY-01,Burst pipe (cold snap),2500,
2025-02-15,Phoenix,Automotive,SKU-AUTO-PH-01,Battery replacement,220,
2025-02-20,Chicago,Furniture,SKU-FURN-CH-01,Broken chair leg,130,
2025-03-05,Austin,Appliances,SKU-APP-CM-900X,Overheated and smoked,250,
2025-03-06,Boston,Appliances,SKU-APP-CM-900X,Melted casing,250,
2025-03-06,Chicago,Appliances,SKU-APP-CM-900X,Unit caught fire,250,
2025-03-07,Miami,Appliances,SKU-APP-CM-900X,Strange burning smell,250,
2025-03-08,Denver,Appliances,SKU-APP-CM-900X,Sparking from plug,250,
2025-03-09,Seattle,Appliances,SKU-APP-CM-900X,Unit melted,250,
2025-04-10,Los Angeles,Automotive,SKU-AUTO-LA-01,Fender bender,1800,
2025-04-15,New York,Electronics,SKU-ELEC-NY-01,Laptop water damage,700,
2025-05-15,Phoenix,Appliances,SKU-APP-PH-01,AC unit failure,900,
2025-05-20,Omaha,Property,SKU-PROP-OM-01,Hail damage to roof (minor),2100,
2025-06-01,Austin,Electronics,SKU-ELEC-AU-02,TV screen pixelation,150,
2025-06-12,Omaha,Property,SKU-PROP-OM-01,Roof torn off,35000,
2025-06-12,Omaha,Property,SKU-PROP-OM-02,All windows shattered,8000,
2025-06-12,Omaha,Automotive,SKU-AUTO-OM-01,Vehicle overturned by wind,22000,
2025-06-12,Omaha,Property,SKU-PROP-OM-01,Siding stripped from house,12000,
2025-06-13,Omaha,Property,SKU-PROP-OM-03,Structural failure of garage,18000,
2025-06-13,Omaha,Property,SKU-PROP-OM-01,Tree fell on house,21000,
2025-06-13,Omaha,Automotive,SKU-AUTO-OM-02,Car crushed by debris,19500,
2025-06-15,Dallas,Automotive,SKU-AUTO-DA-01,Transmission fluid leak,850,
2025-07-04,Boston,Property,SKU-PROP-BO-01,Fireworks damage to roof,1500,
2025-07-20,Houston,Appliances,SKU-APP-HU-02,Refrigerator compressor fail,800,
2025-08-01,San Francisco,Electronics,SKU-ELEC-SF-01,Camera lens cracked,400,
2025-08-22,Seattle,Electronics,SKU-ELEC-SL-100,Smart lock unresponsive,400,
2025-08-22,New York,Electronics,SKU-ELEC-SL-100,Ransom message on app,400,
2025-08-23,Austin,Electronics,SKU-ELEC-SS-200,Security system unresponsive,750,
2025-08-23,Chicago,Electronics,SKU-ELEC-SL-100,Device locked, cannot enter home,400.0
2025-08-24,San Francisco,Electronics,SKU-ELEC-SS-200,All cameras offline, bricked,750.0
2025-08-24,Miami,Electronics,SKU-ELEC-SL-100,Smart lock unresponsive,400,
2025-09-10,Orlando,Property,SKU-PROP-OR-01,Minor hurricane wind damage,3000,
2025-10-05,Denver,Automotive,SKU-AUTO-DE-01,Cracked windshield (rock),450,
2025-10-15,Boston,Appliances,SKU-APP-BO-01,Washing machine motor seizure,600,
